Region,Country,Vine Area ('000 ha),Cropland under vines (%),Wine produced (ML),Wine consumed (ML),Wine consumed (l/capita),Wine expenditure (US$m 2015),Per capita wine expenditure (US$ 2015),Population (millions),GDP (billion US$ real 1990),GDP per capita ('000 US$),Wine export vol. (ML),Wine import vol. (ML),Value of wine exports (US$ mill),Value of wine imports (US$ mill),Bottled still wine exports (ML),Bottled still wine imports (ML),Sparkling wine exports (ML),Sparkling wine imports (ML),Bulk wine exports (ML),Bulk wine imports (ML),Unit value exports (US$/litre),Unit value imports (US$/litre),% of global prod'n volume,% of global cons'n volume,% of '15 global wine expend.,Wine as % of alcohol cons'n volume,Exports as % of prod'n volume,Imports as % of cons'n volume,Wine self- suff.  (%),% of world export volume,% of world export value,% of world import volume,% of world import value,Index of wine comp. advant.
WEX,France,2.638230829723045,0.9294902771080167,3.6901507785563137,3.171246692697361,1.982664506924196,2.776611616036034,1.9979305271512915,-0.24069068761240456,0.0688405246286336,0.6828164330448419,2.5786197728510825,1.306460997836261,5.478361362104042,0.06366448029258148,3.686246481099358,0.020202073153194774,3.3849368531727886,0.38126748877911165,0.7251125020490995,3.123010724841526,0.0008491941886619108,-0.9097614362630192,3.7001291836593886,3.2591967162485673,2.543849853975436,1.6528324506197534,-0.1589612294708149,-0.540448312321327,0.5194876623815349,2.5950318190090615,5.516685228113199,1.58985665385355,0.1468012338788412,1.0971373758454228
WEX,Italy,2.2838731362866236,2.4549705340102066,3.896287827512766,2.2985657039011813,1.454987710762345,1.150516866610092,0.646084335654594,-0.2560760185169798,-0.06646370048722479,0.17070536019152624,3.9100918894184598,0.04772996527983348,3.535982185928717,-0.2559498191217152,4.372746440207468,-0.47679258153037785,5.421758419758448,-0.3058273489365519,2.1666056851180664,0.7599546003814276,-0.27757091641080545,-0.7812182379499129,3.9086175425118816,2.368075839838564,1.0347550595125776,2.010604847152737,0.1115759505651286,-0.792155083438782,1.0935647549846856,3.9339784148184354,3.5622827920410227,0.10789231811654917,-0.25605146502934956,0.6663246735259143
WEX,Portugal,0.21353133683918685,3.1758653003123483,-0.07330148777781537,-0.040522518175189454,2.097120787638913,-0.2550328809402947,0.8698009808371894,-0.41755681668411393,-0.4050362290401309,-0.3341341264550829,0.1551353974278786,-0.018254165550116053,0.12918452509194006,-0.42248987092915374,0.4334785504803124,-0.3773538410823422,-0.2561460509926581,-0.34463195115895473,-0.08436094311065644,0.4850118216407332,-0.277047339457739,-1.019731823247473,-0.06580001130135396,-0.025806186266273196,-0.2845147765141253,1.9912423772126107,0.13901892394304094,-0.131145266694468,0.21815730314253104,0.16315415699874317,0.1390511574962175,0.030699268942660205,-0.46554018508582745,0.8021496668565145
WEX,Spain,3.472506029230839,1.5315818343048664,2.9447547397609184,0.3165836947211277,0.021941261408882615,-0.01103440936862184,-0.26583423632411285,-0.3050988898797025,-0.19141240266147655,-0.020498561979836433,4.466616359073756,-0.37866975168982697,1.5618620910427028,-0.38189143610089427,2.9817171254718056,-0.4175746873880553,2.8095371970439893,-0.2039944421584055,6.008159902747846,-0.4068754246862978,-0.41430190912666526,-0.42598295679184317,2.95598162333573,0.3389302716758382,-0.05393440495175076,-0.2066873313419535,0.5185402796568109,-0.8573460343097103,4.224732626536907,4.485578022660461,1.569179991489515,-0.3917837511978138,-0.4136462769091592,0.4562780486138849
WEM,Austria,-0.4251188843652934,0.5888654417536724,-0.47838391382312,-0.3180773287764852,1.061933898144848,-0.11923386753558639,2.1711694709288323,-0.4233151926090779,-0.37839721588724856,1.011966234699738,-0.3276718745675823,-0.354777159869614,-0.29628658705176764,-0.34843375858077125,-0.27616149093306236,-0.3926021982995236,-0.26835003380593203,0.09140310570521694,-0.3404196456399563,-0.3756597220787022,-0.2419732258335436,-0.39446131565627957,-0.47091028088767756,-0.3121554124764418,-0.16023202164250794,0.37267908919941967,-0.31926380830699985,-0.47813228702102417,-0.28198018444489625,-0.32139339134789124,-0.28824469029335725,-0.368563181686053,-0.37874325214638493,-0.3978542065085526
WEM,Bel-Lux,-0.6067927723758352,-0.6065109139349149,-0.6588741118986398,-0.14537692592000412,1.2452503960964274,-0.22968023657672268,0.8700769041573012,-0.41284015036648286,-0.35220718459754824,0.9209009652348,-0.34896475300172547,0.2837774347524888,-0.28873964237237754,0.34799744207513017,-0.32604634078293365,0.45331098969488137,-0.2008183344106823,1.1376291029580976,-0.3493077643412071,0.03811692302678551,-0.15528852452487726,-0.27719317576675884,-0.6514357720635165,-0.13290100539664063,-0.2627255091059194,0.4014565680103836,5.802194555226204,0.5405554584094223,-1.0554539794216,-0.34281879080766053,-0.28125777475838254,0.385831416741515,0.5007370670711883,-0.4564503806494144
WEM,Denmark,-0.610978099463667,-0.651646954019594,-1.0586539331331839e-16,-0.426992740298819,1.1412988722103805,-0.24396416999110068,2.5375404182769636,-0.43238228305303056,-0.40527950000524954,0.934901871474992,-0.3572320846225312,-0.056958462782043785,-0.31410144796932704,-0.035748676570127876,-0.377451658655608,-0.035267817284316265,-0.26638907338128176,-0.2683633255273615,-0.2966165244254399,-0.009415255843573146,-0.1950797920956207,-0.32202273332284026,0.0,-0.42053407065175197,-0.2745302998028114,1.0150236792434038,0.0,0.8961814462400024,-4.0188387772861024e-16,-0.35102414872536136,-0.3061060316856979,-0.014155271685062292,0.020196343843192268,-0.3676973713225335
WEM,Finland,-0.610978099463667,-0.651646954019594,-1.0586539331331839e-16,-0.5755737710427447,-0.23947165325585335,-0.4673231602471666,0.3434865600538202,-0.4329306416264974,-0.4091313449482966,0.7955986542385821,-0.41204510681639867,-0.3532787995435423,-0.38944135245123734,-0.3473293184205682,-0.4325556676258263,-0.4051133792943285,-0.28374447562660154,-0.26669795317806133,-0.3439621599389933,-0.2977203162604762,-0.31821206203123514,-0.39391618753206736,0.0,-0.5722898142200158,-0.4893055499335208,-0.3094858751144658,0.0,0.9766807648203648,-4.0188387772861024e-16,-0.40627549552112463,-0.3817769838320151,-0.368563181686053,-0.37874325214638493,-0.46398570984854126
WEM,Germany,-0.18968167969349423,-0.31756782814196255,0.16775563045675795,1.991450676063037,0.6191947108845078,1.0898074747050877,0.20010645234427477,-0.19225993124959734,0.18040070063842706,0.645691098990528,0.3489152152173685,3.2841315475179496,0.30564019924035507,1.657015234041561,0.6543116230248759,2.48527344731537,0.3014194441302466,1.8862224709596136,-0.0387344220985214,5.020463553360804,-0.2773698206402657,-0.6932873147349935,0.17597977264607848,2.0544547226545657,0.960372888030038,0.06182937958512628,0.0833586071995918,0.32336094608512217,-0.6451175410955181,0.35786791501874354,0.3158654936551344,3.910883209852669,2.141223960710674,-0.42107626941849274
WEM,Greece,-0.1592417957836939,0.547268053914508,-0.40310214207118944,-0.2665230766315659,0.8270156009143381,-0.18973337110662505,1.1248085509305972,-0.4156656396436904,-0.4078328354644969,-0.5016664675543678,-0.3700500316701026,-0.5030394508976573,-0.35371866212887804,-0.49711404060358017,-0.34880666085436074,-0.5615014674882898,-0.28281918597550504,-0.45313693540647315,-0.35243083360243954,-0.4714309064767053,-0.3007436606333211,-0.6402492829316693,-0.39570509231967843,-0.25625245243024275,-0.24167744739243996,1.345778702541857,-0.6299743057192848,-0.8753058064176421,-0.1415668687677387,-0.3639233313684524,-0.34582932139578315,-0.5382670636212786,-0.5588112726745941,-0.2658132179180706
